InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority
780206,SKU_1224,Blue Pen,-50,2020-11-05 23:00:00.000000 UTC,60.46,,France,0.18,paypall,,Electronics,Online,Not Returned,FedEx,,Low
763660,SKU_1288,Desk Lamp,-50,2025-05-02 23:00:00.000000 UTC,-13.22,,France,0.0,Bank Transfer,,Stationery,Online,Not Returned,Royal Mail,,Low
824689,SKU_1472,Office Chair,-50,2022-01-15 10:00:00.000000 UTC,-51.14,,Italy,1.4789513806137946,paypall,,Apparel,Online,Not Returned,DHL,,Low
784007,SKU_1273,Notebook,-50,2024-10-21 08:00:00.000000 UTC,-67.19,,France,1.4912215776600566,Bank Transfer,,Furniture,In-store,Not Returned,Royal Mail,,Low
482323,SKU_1363,T-shirt,-50,2023-11-20 11:00:00.000000 UTC,-85.05,,Germany,1.5341604444362575,Credit Card,,Accessories,In-store,Not Returned,Royal Mail,,Low
384186,SKU_1797,Headphones,-50,2020-03-27 20:00:00.000000 UTC,25.59,,France,0.04,paypall,,Accessories,In-store,Not Returned,UPS,,Low
915869,SKU_1610,Desk Lamp,-50,2020-09-15 19:00:00.000000 UTC,34.37,,Spain,0.22,Credit Card,,Apparel,In-store,Not Returned,FedEx,,Low
662656,SKU_1706,Notebook,-50,2023-02-08 10:00:00.000000 UTC,-57.14,,Netherlands,1.9282923967082313,paypall,,Electronics,Online,Not Returned,DHL,,Low
872856,SKU_1155,White Mug,-50,2024-11-23 04:00:00.000000 UTC,-97.3,,Australia,1.9184513968394854,paypall,,Stationery,In-store,Not Returned,Royal Mail,,Low
697684,SKU_1143,USB Cable,-50,2023-03-20 01:00:00.000000 UTC,-90.02,,Germany,1.581375656175219,paypall,,Stationery,In-store,Returned,UPS,,Low
761383,SKU_1646,Blue Pen,-50,2022-12-07 12:00:00.000000 UTC,-97.06,,Portugal,1.1772210748396041,paypall,,Electronics,Online,Not Returned,UPS,,Low
548934,SKU_1324,Backpack,-50,2021-03-04 07:00:00.000000 UTC,-18.45,,Netherlands,0.07,Bank Transfer,,Furniture,Online,Returned,UPS,,Low
131912,SKU_1812,USB Cable,-50,2021-09-25 12:00:00.000000 UTC,-72.41,,Germany,0.06,Credit Card,,Accessories,In-store,Not Returned,UPS,,Low
977112,SKU_1351,Headphones,-50,2023-03-14 02:00:00.000000 UTC,89.22,,United States,0.17,Credit Card,,Electronics,Online,Not Returned,Royal Mail,,Low
258518,SKU_1549,Desk Lamp,-50,2020-02-18 12:00:00.000000 UTC,-18.93,,Netherlands,1.8770664248534583,paypall,,Furniture,Online,Not Returned,Royal Mail,,Low
248993,SKU_1017,Blue Pen,-50,2025-08-17 19:00:00.000000 UTC,-11.96,,Germany,1.4824107832771114,paypall,,Accessories,In-store,Not Returned,FedEx,,Low
184661,SKU_1533,Blue Pen,-50,2023-06-06 16:00:00.000000 UTC,-88.44,,Netherlands,1.5277566123578852,paypall,,Electronics,In-store,Not Returned,FedEx,,Low
380267,SKU_1256,Blue Pen,-50,2024-07-30 11:00:00.000000 UTC,-5.11,,United States,1.034627613201105,Bank Transfer,,Electronics,In-store,Not Returned,Royal Mail,,Low
833251,SKU_1821,Blue Pen,-50,2022-05-05 12:00:00.000000 UTC,62.96,,United Kingdom,0.21,paypall,,Apparel,Online,Not Returned,UPS,,Low
371604,SKU_1005,Wireless Mouse,-50,2020-10-01 09:00:00.000000 UTC,59.09,,Sweden,0.02,paypall,,Accessories,In-store,Not Returned,Royal Mail,,Low
834647,SKU_1693,Wireless Mouse,-50,2021-08-06 09:00:00.000000 UTC,-26.23,,United Kingdom,0.21,Bank Transfer,,Accessories,Online,Not Returned,DHL,,Low
450532,SKU_1112,Desk Lamp,-50,2024-12-26 20:00:00.000000 UTC,-56.19,,Spain,1.0243669296322357,Bank Transfer,,Apparel,Online,Not Returned,Royal Mail,,Low
507881,SKU_1891,White Mug,-50,2024-05-29 22:00:00.000000 UTC,-54.76,,France,1.9887291444433917,Bank Transfer,,Stationery,Online,Not Returned,Royal Mail,,Medium
705789,SKU_1982,Backpack,-50,2024-12-02 23:00:00.000000 UTC,-55.42,,Belgium,0.24,Bank Transfer,,Electronics,Online,Not Returned,Royal Mail,,Medium
496770,SKU_1640,White Mug,-50,2023-04-27 19:00:00.000000 UTC,53.25,,Australia,0.34,Credit Card,,Accessories,Online,Not Returned,DHL,,Medium
966297,SKU_1964,Wireless Mouse,-50,2022-03-11 14:00:00.000000 UTC,89.63,,Sweden,0.01,Credit Card,,Furniture,In-store,Not Returned,DHL,,Medium
171889,SKU_1792,Wireless Mouse,-50,2023-06-06 22:00:00.000000 UTC,-25.99,,Sweden,0.38,paypall,,Furniture,Online,Not Returned,DHL,,Medium
364319,SKU_1368,Blue Pen,-50,2024-06-02 11:00:00.000000 UTC,-86.34,,Belgium,0.43,paypall,,Stationery,Online,Not Returned,FedEx,,Medium
521486,SKU_1199,Wireless Mouse,-50,2020-05-08 13:00:00.000000 UTC,-11.46,,Portugal,1.9317937418623958,Credit Card,,Electronics,Online,Not Returned,Royal Mail,,Medium
188377,SKU_1234,Headphones,-50,2024-11-29 14:00:00.000000 UTC,-34.13,,United States,1.8000073086651391,paypall,,Stationery,In-store,Not Returned,UPS,,Medium
733594,SKU_1811,Notebook,-50,2025-08-29 14:00:00.000000 UTC,-32.91,,United States,1.6082327361719488,paypall,,Electronics,In-store,Not Returned,Royal Mail,,Medium
281423,SKU_1261,Wall Clock,-50,2025-05-12 20:00:00.000000 UTC,-79.49,,Netherlands,1.292710452538661,Credit Card,,Electronics,Online,Not Returned,DHL,,Medium
700699,SKU_1719,White Mug,-50,2020-12-28 02:00:00.000000 UTC,-65.63,,Italy,1.3049354226225516,Credit Card,,Accessories,In-store,Not Returned,DHL,,Medium
343761,SKU_1360,Headphones,-50,2022-01-10 10:00:00.000000 UTC,25.94,,United States,0.48,Bank Transfer,,Furniture,Online,Not Returned,UPS,,Medium
294251,SKU_1011,Desk Lamp,-50,2024-12-31 01:00:00.000000 UTC,-71.36,,Australia,1.7401246887520876,Bank Transfer,,Electronics,Online,Returned,FedEx,,Medium
665175,SKU_1741,Desk Lamp,-50,2024-07-01 06:00:00.000000 UTC,29.65,,Germany,0.15,Bank Transfer,,Furniture,In-store,Not Returned,DHL,,Medium
955633,SKU_1576,Desk Lamp,-50,2022-05-31 16:00:00.000000 UTC,-22.53,,Spain,0.17,Credit Card,,Furniture,Online,Not Returned,Royal Mail,,Medium
731121,SKU_1008,Backpack,-50,2021-03-13 12:00:00.000000 UTC,52.6,,Australia,0.49,Credit Card,,Accessories,In-store,Not Returned,Royal Mail,,Medium
707176,SKU_1722,Notebook,-49,2023-06-17 06:00:00.000000 UTC,36.59,,France,0.14,Bank Transfer,,Electronics,Online,Not Returned,Royal Mail,,High
381075,SKU_1643,Desk Lamp,-49,2020-09-16 08:00:00.000000 UTC,36.54,,Netherlands,0.27,Credit Card,,Apparel,Online,Not Returned,UPS,,High
673624,SKU_1598,Blue Pen,-49,2022-05-17 12:00:00.000000 UTC,-26.9,,United Kingdom,1.2778271101760494,paypall,,Apparel,In-store,Not Returned,DHL,,High
235921,SKU_1512,Office Chair,-49,2023-05-02 15:00:00.000000 UTC,-63.78,,Portugal,0.07,Bank Transfer,,Electronics,In-store,Not Returned,UPS,,High
303265,SKU_1904,Desk Lamp,-49,2024-06-26 22:00:00.000000 UTC,3.12,,Belgium,0.32,paypall,,Stationery,Online,Not Returned,DHL,,High
860943,SKU_1851,Backpack,-49,2022-01-24 06:00:00.000000 UTC,-68.62,,Netherlands,1.1636825311378662,Credit Card,,Stationery,In-store,Not Returned,Royal Mail,,High
318126,SKU_1591,Headphones,-49,2022-04-27 12:00:00.000000 UTC,-82.86,,Netherlands,0.05,Bank Transfer,,Accessories,In-store,Not Returned,DHL,,High
135394,SKU_1913,T-shirt,-49,2024-06-03 21:00:00.000000 UTC,5.25,,Sweden,0.34,Credit Card,,Furniture,Online,Returned,UPS,,High
497827,SKU_1957,Headphones,-49,2020-01-26 09:00:00.000000 UTC,77.98,,United States,0.15,Bank Transfer,,Stationery,In-store,Not Returned,UPS,,High
668800,SKU_1611,Backpack,-49,2021-07-21 12:00:00.000000 UTC,-81.29,,Belgium,0.45,Bank Transfer,,Furniture,In-store,Returned,Royal Mail,,High
467758,SKU_1905,Blue Pen,-49,2022-12-10 11:00:00.000000 UTC,-76.79,,Germany,0.08,Credit Card,,Stationery,In-store,Returned,Royal Mail,,High
681529,SKU_1894,Office Chair,-49,2021-02-02 01:00:00.000000 UTC,50.64,,Portugal,0.25,Bank Transfer,,Electronics,In-store,Not Returned,DHL,,High
450857,SKU_1885,USB Cable,-49,2021-10-16 07:00:00.000000 UTC,-84.29,,Norway,1.9892372596106362,Credit Card,,Electronics,Online,Not Returned,DHL,,High
703672,SKU_1640,Notebook,-49,2023-02-05 12:00:00.000000 UTC,-31.53,,United Kingdom,1.5857288558343758,Credit Card,,Apparel,Online,Not Returned,UPS,,High
431628,SKU_1817,White Mug,-49,2023-01-13 23:00:00.000000 UTC,78.94,,United Kingdom,0.15,paypall,,Electronics,Online,Not Returned,Royal Mail,,High
997153,SKU_1106,White Mug,-49,2024-04-10 19:00:00.000000 UTC,-8.28,,United States,0.28,Bank Transfer,,Stationery,Online,Not Returned,UPS,,High
231235,SKU_1466,Notebook,-49,2022-10-22 20:00:00.000000 UTC,76.11,,Belgium,0.33,Bank Transfer,,Accessories,In-store,Not Returned,Royal Mail,,High
423733,SKU_1548,Notebook,-49,2022-05-16 06:00:00.000000 UTC,87.26,,Sweden,0.06,Credit Card,,Electronics,Online,Not Returned,DHL,,Low
896060,SKU_1403,Office Chair,-49,2021-07-04 03:00:00.000000 UTC,-71.26,,Sweden,1.3088991532689165,Bank Transfer,,Electronics,In-store,Not Returned,UPS,,Low
948689,SKU_1964,Backpack,-49,2021-03-17 03:00:00.000000 UTC,-53.17,,Sweden,1.7802199243051715,Credit Card,,Furniture,Online,Not Returned,FedEx,,Low
886448,SKU_1299,Blue Pen,-49,2023-08-06 01:00:00.000000 UTC,-86.43,,Australia,0.23,paypall,,Electronics,Online,Returned,DHL,,Low
475926,SKU_1856,Headphones,-49,2022-07-16 08:00:00.000000 UTC,-6.14,,United Kingdom,0.41,Credit Card,,Accessories,In-store,Not Returned,UPS,,Low
975729,SKU_1324,Headphones,-49,2021-05-23 16:00:00.000000 UTC,-62.66,,Italy,1.7565197972453113,paypall,,Electronics,In-store,Not Returned,Royal Mail,,Low
682787,SKU_1678,White Mug,-49,2021-10-06 10:00:00.000000 UTC,-86.67,,Belgium,1.5505339174401129,paypall,,Furniture,Online,Returned,UPS,,Low
116375,SKU_1640,Backpack,-49,2021-07-23 04:00:00.000000 UTC,-27.66,,Netherlands,1.2100376755642346,Credit Card,,Stationery,Online,Not Returned,UPS,,Low
942393,SKU_1982,T-shirt,-49,2020-03-07 15:00:00.000000 UTC,-77.48,,Netherlands,1.9471402916967229,Bank Transfer,,Accessories,In-store,Not Returned,DHL,,Low
331560,SKU_1712,Backpack,-49,2023-12-01 14:00:00.000000 UTC,-66.53,,Italy,1.1443197541565528,Bank Transfer,,Accessories,Online,Not Returned,DHL,,Low
802214,SKU_1926,Notebook,-49,2020-12-20 21:00:00.000000 UTC,1.72,,France,0.4,Bank Transfer,,Stationery,In-store,Not Returned,DHL,,Low
913690,SKU_1783,Notebook,-49,2024-08-20 14:00:00.000000 UTC,75.59,,Portugal,0.32,paypall,,Furniture,In-store,Not Returned,FedEx,,Low
978896,SKU_1392,Blue Pen,-49,2024-08-10 02:00:00.000000 UTC,83.59,,United States,0.26,paypall,,Accessories,Online,Not Returned,Royal Mail,,Low
598317,SKU_1027,White Mug,-49,2025-08-25 11:00:00.000000 UTC,51.77,,Sweden,0.25,Bank Transfer,,Furniture,In-store,Not Returned,Royal Mail,,Low
739872,SKU_1401,Wireless Mouse,-49,2020-09-29 14:00:00.000000 UTC,42.38,,Belgium,0.25,Credit Card,,Electronics,In-store,Not Returned,DHL,,Low
966792,SKU_1892,Desk Lamp,-49,2020-07-16 12:00:00.000000 UTC,-10.09,,Netherlands,1.8748161680972608,paypall,,Electronics,Online,Not Returned,FedEx,,Medium
457226,SKU_1462,Wall Clock,-49,2020-09-26 22:00:00.000000 UTC,-76.93,,Portugal,1.1689005573269009,paypall,,Stationery,In-store,Not Returned,FedEx,,Medium
126866,SKU_1032,Desk Lamp,-49,2023-05-31 01:00:00.000000 UTC,3.07,,Spain,0.16,Bank Transfer,,Electronics,Online,Not Returned,FedEx,,Medium
426986,SKU_1291,Blue Pen,-49,2025-01-29 17:00:00.000000 UTC,54.58,,Italy,0.15,paypall,,Accessories,In-store,Not Returned,DHL,,Medium
207369,SKU_1338,Headphones,-49,2025-01-09 04:00:00.000000 UTC,-98.75,,Australia,1.9273453713415947,Credit Card,,Accessories,Online,Not Returned,Royal Mail,,Medium
804367,SKU_1178,Notebook,-49,2024-11-26 11:00:00.000000 UTC,-62.21,,Australia,1.0610526382356031,Credit Card,,Apparel,Online,Returned,UPS,,Medium
516893,SKU_1364,Office Chair,-49,2025-06-27 18:00:00.000000 UTC,94.56,,Belgium,0.39,paypall,,Apparel,In-store,Not Returned,UPS,,Medium
187844,SKU_1916,T-shirt,-49,2022-04-15 22:00:00.000000 UTC,-33.03,,Germany,1.2733230589327926,Credit Card,,Furniture,Online,Not Returned,UPS,,Medium
726166,SKU_1882,Headphones,-49,2025-02-01 12:00:00.000000 UTC,-51.92,,France,1.2260583697366294,Credit Card,,Electronics,In-store,Not Returned,FedEx,,Medium
957158,SKU_1913,USB Cable,-49,2021-12-06 09:00:00.000000 UTC,-43.89,,Germany,0.34,Credit Card,,Apparel,In-store,Not Returned,FedEx,,Medium
359214,SKU_1222,USB Cable,-49,2020-02-05 02:00:00.000000 UTC,77.84,,Netherlands,0.21,Bank Transfer,,Furniture,Online,Not Returned,FedEx,,Medium
306355,SKU_1279,T-shirt,-48,2024-10-19 12:00:00.000000 UTC,47.75,,United Kingdom,0.38,Credit Card,,Furniture,In-store,Not Returned,UPS,,High
521410,SKU_1322,T-shirt,-48,2023-06-27 22:00:00.000000 UTC,26.36,,Norway,0.36,Bank Transfer,,Furniture,In-store,Not Returned,FedEx,,High
728296,SKU_1566,Wall Clock,-48,2023-06-14 13:00:00.000000 UTC,-12.23,,Norway,1.2090010240709668,Bank Transfer,,Electronics,In-store,Not Returned,FedEx,,High
562073,SKU_1612,Headphones,-48,2024-09-30 18:00:00.000000 UTC,-43.06,,Italy,0.29,Bank Transfer,,Stationery,Online,Not Returned,FedEx,,High
465898,SKU_1001,Blue Pen,-48,2020-10-10 15:00:00.000000 UTC,-63.09,,Germany,1.059378306796154,Credit Card,,Stationery,Online,Not Returned,FedEx,,High
206918,SKU_1001,Wireless Mouse,-48,2022-05-25 18:00:00.000000 UTC,-27.65,,Netherlands,1.9134980862549162,paypall,,Accessories,In-store,Not Returned,UPS,,High
150893,SKU_1579,USB Cable,-48,2021-06-02 15:00:00.000000 UTC,-94.29,,Germany,0.43,paypall,,Apparel,In-store,Not Returned,FedEx,,High
929801,SKU_1240,Desk Lamp,-48,2024-05-01 00:00:00.000000 UTC,68.53,,Norway,0.22,Bank Transfer,,Furniture,Online,Not Returned,DHL,,High
502885,SKU_1167,Wall Clock,-48,2023-06-03 00:00:00.000000 UTC,87.75,,France,0.39,Credit Card,,Apparel,Online,Not Returned,FedEx,,High
864723,SKU_1528,Backpack,-48,2025-02-06 19:00:00.000000 UTC,-16.79,,Australia,1.670642564646224,Credit Card,,Furniture,Online,Not Returned,DHL,,High
974527,SKU_1929,Headphones,-48,2020-12-15 18:00:00.000000 UTC,-18.81,,Portugal,1.1793662222111114,Bank Transfer,,Furniture,In-store,Not Returned,UPS,,High
946476,SKU_1213,White Mug,-48,2022-09-24 08:00:00.000000 UTC,-90.03,,Belgium,0.45,paypall,,Apparel,In-store,Not Returned,Royal Mail,,High
572032,SKU_1927,Headphones,-48,2021-03-12 01:00:00.000000 UTC,-91.2,,Sweden,0.34,Bank Transfer,,Furniture,Online,Returned,Royal Mail,,Low
912457,SKU_1146,T-shirt,-48,2025-04-06 12:00:00.000000 UTC,58.64,,Netherlands,0.26,paypall,,Furniture,In-store,Not Returned,FedEx,,Low
219755,SKU_1429,Wall Clock,-48,2023-09-26 06:00:00.000000 UTC,-14.2,,France,0.04,Credit Card,,Stationery,In-store,Not Returned,FedEx,,Low
638967,SKU_1396,USB Cable,-48,2022-11-16 17:00:00.000000 UTC,39.98,,Germany,0.37,Bank Transfer,,Accessories,Online,Not Returned,FedEx,,Low
134173,SKU_1396,Desk Lamp,-48,2024-03-09 20:00:00.000000 UTC,-80.82,,United Kingdom,0.43,paypall,,Electronics,In-store,Not Returned,FedEx,,Low
844886,SKU_1769,USB Cable,-48,2024-06-15 00:00:00.000000 UTC,82.59,,Italy,0.3,Bank Transfer,,Furniture,In-store,Returned,DHL,,Low
400206,SKU_1808,Headphones,-48,2022-08-10 07:00:00.000000 UTC,-57.93,,Sweden,1.3010300088867774,paypall,,Accessories,In-store,Not Returned,Royal Mail,,Low
760601,SKU_1743,Notebook,-48,2021-06-17 13:00:00.000000 UTC,-33.25,,United States,0.32,paypall,,Stationery,Online,Not Returned,FedEx,,Low
946942,SKU_1444,White Mug,-48,2023-09-07 08:00:00.000000 UTC,-10.28,,Australia,1.0319241772625292,Credit Card,,Electronics,In-store,Not Returned,FedEx,,Low
232321,SKU_1496,Wall Clock,-48,2023-04-02 15:00:00.000000 UTC,-52.41,,Italy,0.44,Bank Transfer,,Stationery,Online,Not Returned,FedEx,,Low
525643,SKU_1222,Headphones,-48,2021-01-01 06:00:00.000000 UTC,-16.11,,Portugal,0.28,Credit Card,,Electronics,Online,Not Returned,DHL,,Low
944032,SKU_1349,T-shirt,-48,2021-08-31 11:00:00.000000 UTC,61.54,,United Kingdom,0.08,paypall,,Furniture,Online,Not Returned,UPS,,Low
258004,SKU_1268,Desk Lamp,-48,2025-03-13 09:00:00.000000 UTC,-37.53,,Belgium,0.26,Credit Card,,Apparel,In-store,Not Returned,FedEx,,Low
946080,SKU_1194,Headphones,-48,2021-08-26 16:00:00.000000 UTC,23.78,,United Kingdom,0.13,Bank Transfer,,Furniture,In-store,Not Returned,DHL,,Low
583121,SKU_1123,Blue Pen,-48,2022-08-14 10:00:00.000000 UTC,81.32,,United Kingdom,0.3,Credit Card,,Accessories,In-store,Not Returned,FedEx,,Low
737096,SKU_1471,Headphones,-48,2022-02-08 09:00:00.000000 UTC,-73.41,,Portugal,0.04,paypall,,Stationery,Online,Not Returned,Royal Mail,,Low
906311,SKU_1788,Headphones,-48,2025-05-13 06:00:00.000000 UTC,-15.57,,Italy,1.7931056826516341,Bank Transfer,,Electronics,Online,Not Returned,DHL,,Low
669457,SKU_1261,Backpack,-48,2024-03-31 05:00:00.000000 UTC,-87.23,,Portugal,1.1206300978991881,paypall,,Apparel,Online,Not Returned,UPS,,Medium
627765,SKU_1502,Wireless Mouse,-48,2023-01-07 05:00:00.000000 UTC,26.32,,Spain,0.06,Bank Transfer,,Accessories,In-store,Returned,Royal Mail,,Medium
614241,SKU_1182,T-shirt,-48,2020-10-16 12:00:00.000000 UTC,62.97,,Australia,0.07,paypall,,Electronics,In-store,Not Returned,Royal Mail,,Medium
802609,SKU_1348,Desk Lamp,-48,2021-11-16 23:00:00.000000 UTC,-69.83,,Australia,1.6909362630061378,paypall,,Stationery,In-store,Not Returned,DHL,,Medium
931659,SKU_1647,Headphones,-48,2021-07-22 17:00:00.000000 UTC,-22.75,,United States,1.7933344526480381,Bank Transfer,,Furniture,In-store,Returned,DHL,,Medium
503689,SKU_1707,Wall Clock,-48,2024-10-15 01:00:00.000000 UTC,-2.85,,United States,0.32,paypall,,Electronics,In-store,Not Returned,Royal Mail,,Medium
976108,SKU_1484,USB Cable,-48,2025-06-22 12:00:00.000000 UTC,-59.72,,Spain,1.4217366095508508,Bank Transfer,,Apparel,Online,Not Returned,UPS,,Medium
738453,SKU_1655,Desk Lamp,-48,2020-11-30 19:00:00.000000 UTC,20.01,,Netherlands,0.39,Bank Transfer,,Electronics,In-store,Not Returned,DHL,,Medium
802022,SKU_1353,Wall Clock,-48,2024-06-29 13:00:00.000000 UTC,41.98,,Germany,0.2,Bank Transfer,,Apparel,Online,Not Returned,DHL,,Medium
244233,SKU_1339,USB Cable,-48,2021-01-06 00:00:00.000000 UTC,-40.18,,United States,0.03,Bank Transfer,,Electronics,Online,Not Returned,UPS,,Medium
800046,SKU_1944,USB Cable,-48,2025-08-10 01:00:00.000000 UTC,-43.0,,United States,0.25,Credit Card,,Apparel,Online,Not Returned,FedEx,,Medium
806544,SKU_1714,White Mug,-48,2020-03-16 12:00:00.000000 UTC,43.75,,Italy,0.5,Credit Card,,Electronics,In-store,Not Returned,Royal Mail,,Medium
321795,SKU_1946,Blue Pen,-48,2025-08-01 15:00:00.000000 UTC,-71.94,,United Kingdom,0.19,paypall,,Apparel,In-store,Not Returned,FedEx,,Medium
887665,SKU_1582,White Mug,-48,2024-03-20 09:00:00.000000 UTC,-7.43,,Belgium,1.3124860980644275,Bank Transfer,,Apparel,In-store,Not Returned,DHL,,Medium
132548,SKU_1441,Backpack,-48,2025-03-25 09:00:00.000000 UTC,-12.42,,Sweden,1.5544604607064123,Bank Transfer,,Stationery,In-store,Not Returned,UPS,,Medium
801299,SKU_1085,Desk Lamp,-48,2023-03-26 17:00:00.000000 UTC,7.32,,Spain,0.33,Bank Transfer,,Accessories,Online,Returned,Royal Mail,,Medium
907192,SKU_1294,Desk Lamp,-48,2022-10-16 04:00:00.000000 UTC,-98.65,,Spain,1.3935040396142266,Credit Card,,Electronics,Online,Not Returned,FedEx,,Medium
427660,SKU_1853,Office Chair,-48,2021-11-23 13:00:00.000000 UTC,-81.37,,Belgium,0.33,paypall,,Apparel,Online,Not Returned,UPS,,Medium
317252,SKU_1880,Wall Clock,-48,2023-09-25 12:00:00.000000 UTC,-53.15,,Netherlands,0.17,Credit Card,,Accessories,In-store,Returned,UPS,,Medium
746640,SKU_1948,Headphones,-48,2023-08-03 06:00:00.000000 UTC,-28.1,,Italy,1.160256831278115,paypall,,Stationery,In-store,Not Returned,Royal Mail,,Medium
825299,SKU_1827,Blue Pen,-48,2022-04-01 14:00:00.000000 UTC,-92.02,,United Kingdom,0.38,paypall,,Accessories,In-store,Not Returned,UPS,,Medium
204445,SKU_1955,White Mug,-48,2024-10-08 09:00:00.000000 UTC,-46.49,,Spain,1.1779388894537393,paypall,,Furniture,Online,Not Returned,UPS,,Medium
772547,SKU_1183,Headphones,-48,2023-01-04 15:00:00.000000 UTC,26.22,,Germany,0.24,paypall,,Apparel,Online,Not Returned,FedEx,,Medium
546242,SKU_1041,Wall Clock,-48,2020-12-31 20:00:00.000000 UTC,5.02,,Italy,0.49,Bank Transfer,,Accessories,In-store,Returned,DHL,,Medium
770792,SKU_1965,White Mug,-48,2023-05-27 11:00:00.000000 UTC,85.49,,Netherlands,0.12,Bank Transfer,,Apparel,Online,Not Returned,FedEx,,Medium
339434,SKU_1312,Backpack,-48,2022-08-22 01:00:00.000000 UTC,-11.54,,Sweden,0.22,Credit Card,,Accessories,Online,Not Returned,DHL,,Medium
720140,SKU_1388,Office Chair,-47,2021-06-19 19:00:00.000000 UTC,-79.88,,Italy,1.8901710780247492,Bank Transfer,,Furniture,In-store,Not Returned,UPS,,High
258823,SKU_1229,White Mug,-47,2020-01-19 22:00:00.000000 UTC,98.15,,Germany,0.14,Credit Card,,Apparel,In-store,Returned,DHL,,High
984156,SKU_1325,Notebook,-47,2022-03-22 21:00:00.000000 UTC,-7.18,,Netherlands,1.3275493913677687,Bank Transfer,,Accessories,Online,Not Returned,Royal Mail,,High
206611,SKU_1951,Notebook,-47,2020-07-22 20:00:00.000000 UTC,65.44,,Portugal,0.32,Credit Card,,Furniture,In-store,Returned,Royal Mail,,High
232886,SKU_1700,Wireless Mouse,-47,2020-10-08 12:00:00.000000 UTC,-25.7,,Belgium,0.24,Bank Transfer,,Accessories,Online,Not Returned,FedEx,,High
661085,SKU_1802,Desk Lamp,-47,2025-07-25 22:00:00.000000 UTC,-82.16,,Italy,1.8442817265102409,Bank Transfer,,Furniture,In-store,Not Returned,Royal Mail,,High
220270,SKU_1039,Desk Lamp,-47,2022-10-21 22:00:00.000000 UTC,-23.97,,Portugal,1.8863568460971871,Credit Card,,Electronics,In-store,Not Returned,DHL,,High
604120,SKU_1746,Backpack,-47,2024-07-02 07:00:00.000000 UTC,-44.95,,United Kingdom,1.9333701048341012,paypall,,Stationery,In-store,Not Returned,FedEx,,High
